CODICE_SCUOLA,M_Docenti,F_Docenti,Tot_Docenti,M_Supplenti,F_Supplenti,Tot_Supplenti,M_ATA,F_ATA,Tot_ATA
CSTF01000C,83,91,174,0,11,11,29,19,48
MIMM8DQ01D,19,45,64,6,14,20,12,16,28
CSEE83101X,4,57,61,3,11,14,14,9,23
MEEE83404C,6,46,52,4,4,8,11,13,24
MIEE886019,4,47,51,0,5,5,9,17,26
SARC12000G,5,15,20,1,5,6,2,7,9
NUMM82402Q,3,13,16,0,2,2,3,15,18
RMEE84603D,4,73,77,1,26,27,2,17,19
FOMM814011,5,12,17,1,1,2,4,15,19
VRTD01103A,34,81,115,1,9,10,9,20,29
FGMM83802L,8,31,39,4,6,10,12,11,23
CAEE09301P,4,52,56,1,12,13,6,13,19
PAEE8AD052,4,52,56,1,12,13,6,13,19
SAEE01402D,1,68,69,0,18,18,12,10,22
MTEE83402L,2,25,27,1,1,2,8,12,20
MCMM83102L,9,19,28,4,4,8,3,25,28
VITE019012,58,116,174,11,21,32,15,28,43
CREE82303G,10,99,109,5,26,31,4,33,37
GREE811041,2,64,66,1,15,16,4,24,28
CAMM888015,11,25,36,1,5,6,8,22,30
LCEE83004A,3,53,56,1,10,11,9,17,26
MIEE832011,17,109,126,6,28,34,7,31,38
VRMM86202R,13,38,51,3,5,8,9,26,35
VIEE80902L,2,50,52,0,10,10,4,20,24
PSRI001013,25,42,67,4,10,14,10,25,35
CTMM10300P,17,81,98,3,32,35,9,5,14
PIMM83601B,7,31,38,1,9,10,4,28,32
AVMM873022,18,31,49,2,6,8,10,18,28
RMEE8BD02G,1,45,46,1,9,10,3,20,23
MEEE816061,4,51,55,0,14,14,8,23,31
CZEE843034,0,31,31,0,3,3,10,15,25
SSTD022018,39,35,74,5,9,14,8,15,23
ANEE83102X,3,57,60,1,14,15,8,20,28
LUTF004018,62,71,133,9,18,27,10,28,38
ALEE83502L,5,44,49,0,10,10,11,17,28
PTEE82804G,4,90,94,1,26,27,4,33,37
TSEE805028,0,33,33,0,6,6,4,16,20
OREE82001X,1,45,46,0,12,12,1,19,20
CZMM86101E,8,27,35,2,9,11,11,18,29
RMRH03101X,25,75,100,5,16,21,12,22,34
MIEE8ES038,6,66,72,4,14,18,9,19,28
RMPS19000T,22,62,84,4,3,7,12,16,28
CAEE89305T,22,62,84,4,3,7,12,16,28
PZEE82403X,1,32,33,1,2,3,8,15,23
VARI00801Q,146,129,275,15,29,44,26,39,65
VEEE87101X,6,70,76,1,14,15,8,20,28
TAEE81201R,2,32,34,0,8,8,10,11,21
BSEE85301X,2,50,52,1,10,11,6,17,23
TRMM81402E,5,31,36,1,7,8,1,17,18
CEEE81306C,0,30,30,0,7,7,9,9,18
KREE82403N,4,53,57,0,15,15,8,18,26
BAMM824019,7,24,31,1,6,7,6,12,18
VBMM806032,14,30,44,3,5,8,6,29,35
BAEE838018,1,44,45,0,18,18,7,15,22
TVEE87205X,3,74,77,1,18,19,6,31,37
APEE805066,3,22,25,0,2,2,0,0,0
CEEE8AS02C,2,44,46,0,14,14,9,14,23
ROMM80701A,10,42,52,2,9,11,6,28,34
PREE830041,3,53,56,0,6,6,5,32,37
TATF021016,70,80,150,11,18,29,10,26,36
BSMM815014,13,44,57,3,12,15,5,23,28
CSEE88503A,3,42,45,1,8,9,3,13,16
BSEE807038,2,41,43,0,9,9,5,20,25
CNMM818026,14,20,34,2,4,6,9,19,28
PDEE84303Q,3,53,56,0,8,8,2,26,28
NAMM812018,10,38,48,3,11,14,8,22,30
PDEE82805Q,4,65,69,0,12,12,6,20,26
TOTA008012,59,107,166,12,24,36,14,32,46
RMEE8ES01P,6,56,62,2,14,16,3,15,18
KRMM81703D,10,10,20,1,0,1,12,14,26
NAMM0CQ00C,10,10,20,1,0,1,12,14,26
CEEE8AU046,2,58,60,1,12,13,7,14,21
BGRF00701C,36,49,85,2,4,6,10,16,26
FRTD01902N,54,118,172,6,45,51,13,31,44
CHMM81903X,6,23,29,1,8,9,6,21,27
NOEE806022,6,54,60,3,13,16,7,23,30
NAMM8B0017,4,33,37,1,10,11,9,10,19
AGPC001017,23,76,99,0,2,2,20,10,30
AVEE00504G,1,88,89,0,23,23,12,18,30
CSEE591011,5,32,37,4,10,14,7,11,18
MOMM811036,4,14,18,1,1,2,4,17,21
TEEE842013,2,57,59,0,17,17,7,26,33
MIPC040008,30,58,88,1,0,1,9,14,23
COEE846035,6,56,62,3,12,15,4,22,26
PVRC01251X,62,174,236,17,70,87,0,0,0
SAEE85502P,3,20,23,1,3,4,2,14,16
VVMM829019,3,20,23,1,3,4,2,14,16
