CODICE_SCUOLA,M_Docenti,F_Docenti,Tot_Docenti,M_Supplenti,F_Supplenti,Tot_Supplenti,M_ATA,F_ATA,Tot_ATA
NATD11203L,35,47,82,7,10,17,14,10,24
LEEE8AH041,3,36,39,0,8,8,9,15,24
VAEE83301P,3,61,64,2,18,20,5,24,29
SSMM85101V,13,44,57,2,14,16,9,28,37
SIMM81202D,8,28,36,3,5,8,4,34,38
BAEE168023,2,59,61,0,18,18,14,7,21
NUMM82104A,9,20,29,1,4,5,1,22,23
AVTA008505,31,34,65,3,6,9,0,0,0
ENEE82602X,4,55,59,1,10,11,17,18,35
BORC012014,38,107,145,4,24,28,7,32,39
RMEE8AE01Q,3,97,100,1,37,38,10,32,42
CSEE864017,1,18,19,1,3,4,12,7,19
VBEE80903E,2,38,40,1,18,19,3,19,22
TOEE88005E,5,41,46,2,10,12,2,28,30
CSEE86801E,1,35,36,0,7,7,14,6,20
CTMM8AC01C,4,20,24,1,5,6,7,9,16
TATD08000P,27,79,106,4,16,20,19,20,39
MIMM8B2019,9,35,44,2,10,12,8,19,27
RMEE8FQ018,3,60,63,1,19,20,4,24,28
MCEE806065,2,29,31,0,3,3,5,13,18
RIMM808033,12,27,39,2,4,6,4,20,24
TVEE867029,5,104,109,0,21,21,7,23,30
NAEE85202R,1,54,55,0,21,21,6,15,21
SAEE866058,4,25,29,0,3,3,10,11,21
CNMM826025,14,30,44,5,8,13,6,30,36
TOEE8BG02E,1,37,38,0,4,4,3,22,25
RMEE8G304V,4,112,116,1,43,44,5,23,28
CLPC00801A,44,58,102,6,14,20,21,8,29
PREE821024,1,38,39,0,7,7,5,18,23
PNEE83303G,4,50,54,1,10,11,2,20,22
PNEE81603T,2,46,48,0,5,5,7,18,25
ALMM81902N,12,22,34,2,4,6,11,18,29
CTMM881013,16,65,81,5,30,35,10,25,35
LETF03701T,39,49,88,4,13,17,14,10,24
VETD022013,68,81,149,15,24,39,15,27,42
LESL030506,42,103,145,3,29,32,11,15,26
PATD050008,42,103,145,3,29,32,11,15,26
SPEE81202N,0,39,39,0,7,7,0,20,20
RMTF05101D,38,58,96,12,11,23,9,16,25
POMM80601R,13,29,42,4,7,11,5,31,36
RMMM8BL012,10,40,50,0,9,9,6,17,23
SAMM8BU011,12,40,52,2,4,6,13,11,24
BGMM88701D,8,22,30,2,7,9,3,20,23
SRRC004519,38,50,88,8,8,16,0,0,0
BOEE817038,38,50,88,8,8,16,0,0,0
SVMM81901R,8,33,41,1,10,11,8,22,30
PVEE801035,6,51,57,4,14,18,8,19,27
LCEE81204R,6,51,57,4,14,18,8,19,27
TVEE884012,2,90,92,2,31,33,6,33,39
LESD03302X,74,101,175,13,29,42,17,14,31
BNEE827047,3,51,54,0,12,12,13,10,23
BAEE80601R,2,70,72,0,23,23,8,20,28
PSEE81702X,5,86,91,0,26,26,6,34,40
NAEE22008A,2,56,58,1,20,21,11,11,22
AQMM84701L,15,45,60,4,12,16,7,26,33
RMMM83201C,7,21,28,1,8,9,6,17,23
AREE813037,8,76,84,3,23,26,4,32,36
NAMM8E701T,19,81,100,4,24,28,12,21,33
RCTF03801X,64,75,139,4,20,24,17,19,36
VVEE80313Q,3,44,47,1,8,9,17,13,30
NOMM804029,11,27,38,5,4,9,19,18,37
BSEE808034,2,44,46,1,5,6,7,16,23
NAEE8DU01R,2,64,66,1,17,18,10,15,25
MIEE8D602X,5,43,48,0,12,12,4,14,18
ARPM03000B,22,87,109,2,13,15,6,20,26
SRSD02201B,53,90,143,7,35,42,15,27,42
CLEE807015,2,31,33,1,6,7,7,13,20
KREE81101D,4,71,75,1,24,25,19,14,33
TVTN021015,19,71,90,0,6,6,11,19,30
BAEE896018,4,38,42,0,14,14,4,15,19
